,pWriter,pPainter,pMover,pHeritage,pShopper,
Assumption of Importance,"Yeah, I mean, for Chinatown, I believe it is if you find that area or district. And that's important. So, you know, I think it's important because, like, I love going to Chinatowns in different cities. And I've always noticed, they're that they're very clearly defined to businesses and sometimes a little architecture from, you know, when once you go into the tarsal street, you enter an area and which makes it very significant more or less, you know, culturally significant ","Yes. Well, I think it represents the connection with early Chinese immigrants in Hawaii. And Chinese immigrants were some of the very first to arrive to into Hawaii. And there are out there, there are quite a few very old Hawaiian Chinese families in Hawaii. It also represents kind of a example of how Hawaii really celebrate multiculturalism. And although not perfect, is a good example. I think there are some really great examples for the world really, of how you can integrate a native culture with and how Native culture can then embrace and try to take the best of outside cultures and bring them together.",[had not started the recorder],"Yes, I do agree. From the structures of the roof, it kind of like resembles like, temples. The I think the architecture is pretty like intricate. And I feel like that has some symbolization behind it.",I don't know a lot about this building. I don't know the importance of it. But I always noticed it when I visited Chinatown.,Assumption of Importance
Self-Introduction,"I don't know why you think that thing apart, but probably because you walk by you seen us and you were here, close by the Wo Fat. My name is XXXXX, just call me XXXXX, the brewer. And I just brew coffee at XXXXX uh on XXXXX. ","this? Oh, okay. My name is XXXXX, XXXXX XXXXX. I'm in Native Hawaiian artist and illustrator. I guess I'm also an educator and cultural practitioner, I say I guess, because I'm basically a little bit of whatever I need to be in a time. And I do a lot of community murals. So I believe that when artists doing a mural by themselves is okay. But if you get a community investment in a mural, you also there's a lot of benefits that come out of it. For the participants. It's a sense of ownership that says connection and agency and for the community, they get, the community gets a chance to see that there is people who are there who care about a place and it's it creates kind of an example for how we need more, more commons. We need more places that are cared for by communities, and not just an entities or, you know, corporations.","My name is XXXXX XXXXX. I'm the chairman of XXXXX XXXXX XXXXX. We have over XXXXX locations all over United States and the world. And I was brought up close to Chinatown. So I spent a lot of time in Chinatown, so I know the area very well. So you know, recently I'm working on a project called the Chinatown arch, which is on Keiko Leakey Mall. So, you know, I, you know, since being brought up in Chinatown. I like to keep that to be a safe and clean place.",Okay. My name is XXXXX XXXXX. And I been asked to participate in this project because I've grown up around Chinatown. And I've experienced Chinatown and the area throughout my childhood.  ,"My name is XXXXX XXXXX and XXXXX student in the XXXXX XXXXX of the XXXXX XXXXX   XXXXX XXXXX of XXXXX. I'm, I think the reason you invited me to participate in this interview is that I'm a scholar, scholar in Chinese studies. And also, I have this kind of cultural background of, you know, the cultural studies of China and the United States. Also, I have kind of the teaching experiences of like, the Chinese language. And also I always visit Chinatown to do grocery shopping.   [how often do you go to Chinatown?]  Um, you know, during the semester, usually, I go to Chinatown. Every weekend, almost. Yeah. Because groceries are much cheaper there.  [to get groceries and eat some food]",Self-Introduction
Relationship to Wo Fat,"my experience I have, I've never been inside of the Wo Fat Building, I've always seen it, and like I grew up in Hawaii, and I also grew up right off the road, I used to...I like to XXXXX elementary for a little bit of time, which is not far in this in this area. I as a child, I'd play on the Nu'uanu river a little more up stream from from this River Street area. But it feeds the River Street area, and I'd uh, catch crawfish and play and hang out with friends and my my brothers and sisters. And then we'd also come down to River Street as kid with nothing else to do and just kind of have a bamboo pole and just throw it in the water. We never caught anything. But just something to do more or less. And I've always noticed, it's more subconsciously, you're not as a child, you're just in your own world. But when you reflect back, you see certainty or you remember things things that bring a sense of almost nostalgia come from some type of connection. Right. And I guess that's what it kind of is, even though it wasn't as nice as it is now. It was still there, on my peripherals, you know, and it's, I don't know, he's just familiarity with within area, you know.","sure. Well, I know it maybe not particularly that building per se. I mean, yes, Wo Fat but probably all of Chinatown and the hope and basically, yeah, it's basically Wo Fat's a real hub for Chinatown. My family, we grew up on the west coast of Hawaii, on Oahu, in XXXXX area and whatever Auntie's or family would come to visit us, they would always bring something from Chinatown, it was always like, dim sum, you know, manapua. And so I have very early memories of going to Honolulu and going to the Chinatown area. And I believe one of the first places we ate Chinese food was at or at a fancy restaurant was one of the few restaurants that were in Wo Fat itself. The building, I can't remember things that specifically but yeah, it really it really served to be a hub for for Chinatown, and I think that's something that why I think it's quite still quite significant.","No, I have no relationship. Except, you know, I know people that owns it.","I do remember, when I was younger, I would go to some of the shops on the bottom floor. We would, there was this one shop. It was like a grocery shop. And I would always ask my mom to buy this one specific drink from there.",,Relationship to Wo Fat
Relationship to Chinatown,[already touched on above],"Yeah. Yeah. So and that, you know, in a sense, I think it's, it's this understanding that China calm represents Hawaii's first major connection with multiculturalism, your example of multiculturalism.",[see self intro],"So when I was younger, I would always go with my mom to grocery shop there. Um, she would push me around in the stroller, and we would visit all these different shops. She would buy, like vegetables, a lot of fish. And even nowadays, I would walk through Chinatown to catch the bus there. So yeah, I've just grown around like Chinatown, and I still live around there.  [Parents?]  Um, yeah, they used to work there. They used to work in the Cultural Plaza. Right, like right outside of Chinatown.",,Relationship to Chinatown
EXAMPLE,EXAMPLE TAG,EXAMPLE TAG,EXAMPLE TAG,EXAMPLE TAG,EXAMPLE TAG,EXAMPLE
Text,"I don't know what it says. I could try to guess. Assuming the first letter is a C, second letter, a third letter M. fourth letter E. I don't know what the last letter is. It could be a cameo, but I don't know. Like it's everybody who does these tag style things have their own different flavor or twist on every single alphabet. So the last letter could be something else. It's clear that the AME the middle error, the AME maybe there's another something else going on between the a and the m. That's a possibility, but","Yeah, I cannot read that. Absolutely not. And I definitely want to offer immediately I guess it's probably going to be a blanket statement. I struggle with tagging a lot. I ultimately would love to invite those taggers to be part of community murals. I don't know how to do that yet. It makes me very upset when community art is tagged, I see here and actually, I'm glad they at least didn't tag the mural itself. So that was really important. They tagged above it, which is not, it's never awesome. Art should never be criminalized, but artists shouldn't be criminals. If they aren't going to tag anything, tag a bank, tag McDonald's tag people who can afford to remove their tags. Don't tag community places, don't tag mom and pop stores. Yeah, so that's my blanket statement when it comes to tagging. I have I it's a it's it's right where I want to be as far as how do I engage with them so that they do not need to destroy. Because that's effectively what they're doing there, what I'm trying to do is I'm trying to orchestrate community art. And that is it's, it's this idea, instead of you should ask. to do art, you should ask, you'd be surprised that people may invite you to come do art even better, be asked. Make yourself presentable and make people say, Oh, we want to include your art in our space and stuff. But that might be missing the point. Because I cannot possibly guess what their motivation is for writing their name on the wall. And they're probably very sad somehow and not and feeling the need for attention. And but that even that is oversimplifying? Very much. So","It looks like a graffiti, is that a graffiti?  ","No, I cannot read that.",It is hard. I don't know if it's English or any other language.,Text
Audience,"I think more not necessarily audience but I think it's just being in an area that you frequent and kind of basically even a signature and it's not always for could be for entertainment could be for many things. I don't think there's real... it's sometimes it's just an individual trying to express their individuality.  They go on holiday, like they don't even understand it may it may seem like a form of rebellion, but maybe they just want to stand out in whatever it is everybody wants to be identified some way or have some form of recognition and it's a it's it's something obviously, they don't go around telling everybody but within their circle, the uh somebody's going to recognize it right? So it's hard to assume what it is I try not to waste too much energy on assuming anything anymore. ","Yeah, it was probably speaking to a very small group of people to say, This is me looking at what I did. And yeah. ",,"That kind of looks like graffiti to me. Maybe the audience they were targeting would be like other people that can read graffiti, or know like what this type of graffiti means.",,Audience
Message,"But I understand that it's from a culture that is more of an out there type of culture and it's kind of important for areas I think it's like I've been many places and sometimes that's what makes it a place all these little things and even even your very the happiest city on the earth is like Copenhagen right? And you everywhere there there's all these things and it's a super nice place well thought out no crime no except whatever that is. But it's not really considered crime it's just everywhere nobody even covers it up it stays there it's part of the architecture part of the the community part of the uh... you know like, and it's weird because these things are are everywhere there, they're aged or new and it's uh.  There's no homelessness there's no crime there's no foul things so that's when I started to look at these things. Copenhagen Denmark yeah yeah very very interesting there's it's kind of cool in I think in the event like France the same thing I don't know the crime there but it's very easy to see a place has literally no crime. Homelessness, very little that are not visible. I mean, sure, there is forms of that but they have a housing for them. The government takes care of it. You have drug use, but they have places to use drugs but you don't see it. It stays where it's more controlled, I guess and not just a wild west type of, because they're going to do it anyways. Right? ","Yeah. Just just basically trying to say, Look at me, I look at what I did. I cannot I cannot even get it for me, I guess like, I can't understand why. Yeah.",,"I know sometimes graffiti is like a territorial thing. But because I can't read it, I'm not sure like what type of message they would imply.",,Message
Intention,"So but it was very interesting to me to notice that this is very this style of culture is very prevailing for individuality I believe and is a neighborhood whatever even though there's no crime you know, there's no there's always acts of rebellion, but I don't think it's malicious. Like, high level rebellious, more of a spirit, rebellious spirit that maybe showing individuality. Just maybe even a pride for your neighborhood, I don't know. But as you're young, you look at things differently, right? So your pride How do you show pride when no one even notices you? I don't know.",,,"Now that I look at it, there's blank(?), really cool artwork around it. So maybe they're um... I'm sorry can you repeat the question?  […]  Maybe to show that they've been here. Yeah, I'm not too sure.",,Intention
Location,"But that's kind of how you get so how you create it fast right this type of area, super open area right across the street from the police station. Like you gotta be fast, that's basically a script, I can see it. Like, I see where he started. He went there, and then he went there, and then he comes down there or starts there. Ends  there comes there, and then continues to close out his A and comes down here, but then here there's a gap, I don't know if that's something else, but it just or just leads into an M and then E you know, very uh flowing like, you know what I mean? ","Yeah. Well, again, I'm thankful that they they stayed off of the mural, right. They they, I think what it does show is that people cared enough to make something. And because they cared enough to make something, at least they respected the mural enough that if they were going to destroy part of the wall, you know, this is what I said, like, in a very light sense, destroy. They, at least, didn't harm, a part of the of the wall that represented community.",,"So, yeah, the artwork there. Does seem like professional. It looks like they did it right above the artwork, like avoiding it. Maybe they do appreciate the art that is already there.",,Location
